RunID,Scan_Value_Added,Scan_Overhead,Scan_Gap
0,775.312639281217,256.20553365193473,0.0
1,987.8931162018191,356.2843798784347,0.0
2,915.6102822188199,246.7482587146089,0.0
3,1063.1635009022132,309.34509410328656,0.0
4,917.5202845894707,285.6914837287489,0.0
5,990.8046004135382,309.1091310694857,0.0
6,881.6078395059676,245.3708319922035,0.0
7,517.8156971253175,183.43824119658896,0.0
8,1131.060941133482,364.1058306989741,0.0
9,757.7758049481694,308.29537538532287,0.0
10,1164.6722667976137,364.79157501015686,0.0
11,1085.9345486825655,308.5893992749045,0.0
12,933.7009307153826,350.22135490036555,0.0
13,544.5308561566908,187.06058939929727,0.0
14,954.3721955970453,315.0384726482766,0.0
15,867.7836262158207,325.8818131874991,0.0
16,885.5605797018505,260.62936742095764,0.0
17,786.0842437380603,250.00320281645844,0.0
18,541.0393158509112,211.27761462561946,0.0
19,757.0700141965904,217.5623731781591,0.0
20,796.7437024975562,250.4490689736248,0.0
21,715.931405162415,243.33572849881165,0.0
22,1087.7667619943259,386.7372050193483,0.0
23,892.6448725791679,274.2490264573986,0.0
24,895.5391993073699,299.5475503626781,0.0
25,766.515147340803,249.2927291483565,0.0
26,837.6292673401048,252.58721439608274,0.0
27,723.8397574144783,233.15509820489024,0.0
28,894.5023666719427,302.75102600668083,0.0
29,1075.0701970273508,335.4664062649921,0.0
30,1033.7536864316462,359.18000986323733,0.0
31,1058.8526711975467,300.148297182412,0.0
32,1105.034622181985,336.9489490752749,0.0
33,891.058349581114,288.5222959409759,0.0
34,1121.9172590880028,361.6246127211423,0.0
35,1002.9630607630046,308.89654305429497,0.0
36,768.2457343019996,234.40250393424444,0.0
37,705.6480574964867,272.4199612931952,0.0
38,511.19738432973276,187.14763993079265,0.0
39,935.2032759668433,304.6812812181212,0.0
40,713.1493179360008,286.25540560791393,0.0
41,521.3672455486377,198.2139425711654,0.0
42,784.6934334536563,239.2988632578379,0.0
43,873.3822201950383,325.57709555267985,0.0
44,793.8873596251103,266.9506067986915,0.0
45,624.3932008941351,229.45711749389852,0.0
46,1168.3857744582244,343.4453650438946,0.0
47,1458.16172537692,395.253394779804,0.0
48,1083.7021908575643,349.5506980019378,0.0
49,876.6152683051323,314.77616705870435,0.0
